,ep,time,reward,cum_score,best_score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,states
1,1,2.580000000000002,-309.5,-309.5,-309.5,1.0895086432279233,0.7537955696864554,0.0,0.7803761314412572,0.6614949755194727,-24.470792573951456,"[1.06215648 0.72746559 0.47743071 5.85772189 2.46748035 0.
 1.07488561 0.74068166 0.         6.15287815 2.31599965 0.
 1.08950864 0.75379557 0.         0.15828568 2.12505491 0.        ]"
2,2,2.580000000000002,-309.5,-309.5,-309.5,1.0940201370417175,0.764628224146945,0.0,0.7321214124091018,0.7128890803208109,-24.5328634737772,"[1.06785921 0.73644623 0.49671796 5.89679728 2.40008244 0.
 1.08013342 0.7504935  0.01573585 6.19673924 2.24981165 0.
 1.09402014 0.76462822 0.         0.20634934 2.0592602  0.        ]"
3,3,2.580000000000002,-309.5,-309.5,-309.5,1.1156046895827476,0.7523810602793146,0.0,0.711707642379269,0.7566592776472212,-24.559794959700547,"[1.08994886e+00 7.22689795e-01 4.84572068e-01 5.79268902e+00
 2.40315727e+00 0.00000000e+00 1.10208913e+00 7.37469856e-01
 3.13970263e-03 6.08654396e+00 2.25287675e+00 0.00000000e+00
 1.11560469e+00 7.52381060e-01 0.00000000e+00 9.07031093e-02
 2.06326264e+00 0.00000000e+00]"
4,4,2.580000000000002,-309.5,-309.5,-309.5,1.1292115131765565,0.7569461211141799,0.0,0.6871975450558249,0.7676617706116825,-24.627961957646637,"[1.10393153 0.72703232 0.45663648 5.80663163 2.36224792 0.
 1.11600927 0.74185101 0.         6.10289863 2.20909841 0.
 1.12921151 0.75694612 0.         0.10924317 2.01686809 0.        ]"
5,5,2.580000000000002,-309.5,-309.5,-309.5,1.127715329404139,0.7342667751300735,0.0,0.586769622678261,0.7976126824942095,-24.59760756727762,"[1.10587076 0.70336121 0.48984915 5.69953189 2.35390063 0.
 1.11641272 0.71864874 0.0085018  5.99012075 2.20318642 0.
 1.12771533 0.73426678 0.         6.27445831 2.0138398  0.        ]"
6,6,2.580000000000002,-309.5,-309.5,-309.5,1.0913311757016015,0.7674335795014037,0.0,0.7754025849910912,0.6891006098074907,-24.442480225434345,"[1.06440937e+00 7.39735689e-01 4.86757992e-01 5.92234266e+00
 2.47167244e+00 0.00000000e+00 1.07686036e+00 7.53658644e-01
 6.09459431e-03 6.27478680e+00 2.34472764e+00 0.00000000e+00
 1.09133118e+00 7.67433580e-01 0.00000000e+00 3.29211738e-01
 2.17100303e+00 0.00000000e+00]"
7,7,2.4000000000000017,-309.8,-309.54285714285714,-309.5,-3.598860751081059,1.2625748438260882,0.0,-2.3829389466852455,0.20038170970111024,-26.462702091231836,"[-3.50404189  1.24613887  0.19501775  0.16497087  3.5497194   0.
 -3.55137189  1.25569924  0.          1.05520723  3.05009344  0.
 -3.59886075  1.26257484  0.          1.82588896  2.53939971  0.        ]"
8,8,2.520000000000002,-309.1,-309.4875,-309.1,4.379031906112225,0.9670682291627648,0.0,1.2545981402430466,-0.6510226547735392,-25.696815363816942,"[4.32939441 0.98612237 0.6541764  0.40564669 0.25491302 0.
 4.35391045 0.97825503 0.15344408 0.46635528 6.2763672  0.
 4.37903191 0.96706823 0.         0.53048437 5.95624256 0.        ]"
9,9,2.580000000000002,-309.7,-309.5111111111111,-309.1,-2.645652020769411,0.9902492713040778,0.0,-1.6848195770035823,-0.07761764926846834,-24.787693766363947,"[-2.57092837  0.99515607  0.28380922  0.2570152   5.17709201  0.
 -2.60946009  0.99228197  0.          0.30145851  4.63910328  0.
 -2.64565202  0.99024927  0.          0.34902923  4.09502918  0.        ]"
10,10,2.640000000000002,-309.59999999999997,-309.52,-309.1,-2.658327957874854,-0.02434358368293986,0.0,-0.8200315392513039,-1.0982771523714843,-22.45524784043999,"[-2.62148406e+00  2.26230469e-02  4.36512404e-01  5.05488877e+00
  3.82297872e+00  0.00000000e+00 -2.64117939e+00 -1.79717405e-03
  4.87819223e-04  5.28774879e+00  3.49307829e+00  0.00000000e+00
 -2.65832796e+00 -2.43435837e-02  0.00000000e+00  5.51926189e+00
  3.08659189e+00  0.00000000e+00]"
